#    L    TT             EE             BB             TE             PP             TP             EP          
    48   0.137987E+04   0.103801E+00   0.000000E+00   0.906805E+00   0.134953E-06   0.808547E-03  -0.792041E-06
    49   0.139955E+04   0.110928E+00   0.000000E+00   0.747362E+00   0.134461E-06   0.792824E-03  -0.737790E-06
    50   0.141986E+04   0.118362E+00   0.000000E+00   0.567488E+00   0.133960E-06   0.777960E-03  -0.729312E-06
    51   0.144018E+04   0.126078E+00   0.000000E+00   0.376604E+00   0.133437E-06   0.762964E-03  -0.764612E-06
    52   0.146038E+04   0.134112E+00   0.000000E+00   0.176670E+00   0.132898E-06   0.747924E-03  -0.823552E-06
    53   0.148108E+04   0.142460E+00   0.000000E+00  -0.399476E-01   0.132346E-06   0.733850E-03  -0.876437E-06
    54   0.150220E+04   0.151071E+00   0.000000E+00  -0.269859E+00   0.131781E-06   0.720579E-03  -0.897608E-06
    55   0.152290E+04   0.159969E+00   0.000000E+00  -0.505406E+00   0.131201E-06   0.707018E-03  -0.879436E-06
    56   0.154392E+04   0.169181E+00   0.000000E+00  -0.757092E+00   0.130611E-06   0.693675E-03  -0.832468E-06
    57   0.156581E+04   0.178664E+00   0.000000E+00  -0.102952E+01   0.130013E-06   0.681240E-03  -0.776224E-06
    58   0.158720E+04   0.188414E+00   0.000000E+00  -0.130686E+01   0.129397E-06   0.669114E-03  -0.733001E-06
    59   0.160854E+04   0.198488E+00   0.000000E+00  -0.159728E+01   0.128782E-06   0.657781E-03  -0.721755E-06
    60   0.163090E+04   0.208846E+00   0.000000E+00  -0.191168E+01   0.128152E-06   0.647275E-03  -0.747415E-06
    61   0.165336E+04   0.219458E+00   0.000000E+00  -0.223352E+01   0.127520E-06   0.636463E-03  -0.802812E-06
    62   0.167529E+04   0.230374E+00   0.000000E+00  -0.256341E+01   0.126875E-06   0.625151E-03  -0.875378E-06
    63   0.169781E+04   0.241600E+00   0.000000E+00  -0.291289E+01   0.126234E-06   0.614568E-03  -0.948790E-06
    64   0.172124E+04   0.253033E+00   0.000000E+00  -0.327693E+01   0.125572E-06   0.604837E-03  -0.100547E-05
    65   0.174397E+04   0.264749E+00   0.000000E+00  -0.364605E+01   0.124923E-06   0.594982E-03  -0.103801E-05
    66   0.176702E+04   0.276758E+00   0.000000E+00  -0.403215E+01   0.124254E-06   0.584895E-03  -0.104515E-05
    67   0.179118E+04   0.288994E+00   0.000000E+00  -0.443728E+01   0.123588E-06   0.574966E-03  -0.102967E-05
    68   0.181461E+04   0.301453E+00   0.000000E+00  -0.484560E+01   0.122919E-06   0.565008E-03  -0.999763E-06
    69   0.183812E+04   0.314193E+00   0.000000E+00  -0.526824E+01   0.122246E-06   0.555990E-03  -0.967610E-06
    70   0.186293E+04   0.327167E+00   0.000000E+00  -0.571232E+01   0.121570E-06   0.548195E-03  -0.941745E-06
    71   0.188736E+04   0.340315E+00   0.000000E+00  -0.615962E+01   0.120897E-06   0.540262E-03  -0.927151E-06
    72   0.191128E+04   0.353708E+00   0.000000E+00  -0.661558E+01   0.120218E-06   0.531692E-03  -0.928125E-06
    73   0.193645E+04   0.367344E+00   0.000000E+00  -0.709311E+01   0.119534E-06   0.523464E-03  -0.945050E-06
    74   0.196217E+04   0.381145E+00   0.000000E+00  -0.758113E+01   0.118862E-06   0.516022E-03  -0.973430E-06
    75   0.198675E+04   0.395124E+00   0.000000E+00  -0.806971E+01   0.118172E-06   0.508843E-03  -0.100846E-05
    76   0.201194E+04   0.409347E+00   0.000000E+00  -0.857333E+01   0.117495E-06   0.502085E-03  -0.104679E-05
    77   0.203870E+04   0.423681E+00   0.000000E+00  -0.909882E+01   0.116813E-06   0.495276E-03  -0.108146E-05
    78   0.206440E+04   0.438161E+00   0.000000E+00  -0.962326E+01   0.116135E-06   0.487458E-03  -0.110884E-05
    79   0.209020E+04   0.452853E+00   0.000000E+00  -0.101573E+02   0.115448E-06   0.479563E-03  -0.112829E-05
    80   0.211744E+04   0.467681E+00   0.000000E+00  -0.107133E+02   0.114772E-06   0.472868E-03  -0.113745E-05
    81   0.214409E+04   0.482559E+00   0.000000E+00  -0.112689E+02   0.114089E-06   0.466693E-03  -0.113408E-05
    82   0.217055E+04   0.497612E+00   0.000000E+00  -0.118306E+02   0.113410E-06   0.460512E-03  -0.112117E-05
    83   0.219832E+04   0.512816E+00   0.000000E+00  -0.124141E+02   0.112739E-06   0.454183E-03  -0.110073E-05
    84   0.222599E+04   0.528006E+00   0.000000E+00  -0.129991E+02   0.112060E-06   0.447327E-03  -0.107302E-05
    85   0.225297E+04   0.543316E+00   0.000000E+00  -0.135839E+02   0.111391E-06   0.440558E-03  -0.104342E-05
    86   0.228109E+04   0.558763E+00   0.000000E+00  -0.141881E+02   0.110719E-06   0.434984E-03  -0.101598E-05
    87   0.231022E+04   0.574206E+00   0.000000E+00  -0.148033E+02   0.110053E-06   0.430381E-03  -0.991539E-06
    88   0.233770E+04   0.589642E+00   0.000000E+00  -0.154062E+02   0.109382E-06   0.425183E-03  -0.972034E-06
    89   0.236563E+04   0.605212E+00   0.000000E+00  -0.160210E+02   0.108725E-06   0.419488E-03  -0.961711E-06
    90   0.239578E+04   0.620730E+00   0.000000E+00  -0.166599E+02   0.108057E-06   0.413852E-03  -0.960188E-06
    91   0.242475E+04   0.636218E+00   0.000000E+00  -0.172877E+02   0.107407E-06   0.408193E-03  -0.967850E-06
    92   0.245316E+04   0.651763E+00   0.000000E+00  -0.179174E+02   0.106745E-06   0.403021E-03  -0.985256E-06
    93   0.248348E+04   0.667276E+00   0.000000E+00  -0.185686E+02   0.106090E-06   0.398750E-03  -0.100992E-05
    94   0.251347E+04   0.682671E+00   0.000000E+00  -0.192139E+02   0.105446E-06   0.394276E-03  -0.103803E-05
    95   0.254273E+04   0.698070E+00   0.000000E+00  -0.198577E+02   0.104794E-06   0.389086E-03  -0.106809E-05
    96   0.257330E+04   0.713456E+00   0.000000E+00  -0.205180E+02   0.104153E-06   0.383862E-03  -0.109893E-05
    97   0.260427E+04   0.728617E+00   0.000000E+00  -0.211767E+02   0.103513E-06   0.378906E-03  -0.112633E-05
    98   0.263423E+04   0.743728E+00   0.000000E+00  -0.218292E+02   0.102879E-06   0.374233E-03  -0.115012E-05
    99   0.266514E+04   0.758804E+00   0.000000E+00  -0.224939E+02   0.102240E-06   0.370116E-03  -0.117053E-05
   100   0.269752E+04   0.773723E+00   0.000000E+00  -0.231680E+02   0.101620E-06   0.366311E-03  -0.118602E-05
   101   0.272764E+04   0.788383E+00   0.000000E+00  -0.238190E+02   0.100985E-06   0.361654E-03  -0.119486E-05
   102   0.275870E+04   0.803015E+00   0.000000E+00  -0.244814E+02   0.100362E-06   0.357077E-03  -0.120181E-05
   103   0.279144E+04   0.817466E+00   0.000000E+00  -0.251552E+02   0.997458E-07   0.353000E-03  -0.120715E-05
   104   0.282287E+04   0.831640E+00   0.000000E+00  -0.258117E+02   0.991274E-07   0.348892E-03  -0.121059E-05
   105   0.285401E+04   0.845695E+00   0.000000E+00  -0.264657E+02   0.985194E-07   0.344841E-03  -0.121532E-05
   106   0.288712E+04   0.859552E+00   0.000000E+00  -0.271349E+02   0.979109E-07   0.341074E-03  -0.122150E-05
   107   0.291990E+04   0.873114E+00   0.000000E+00  -0.277936E+02   0.973101E-07   0.337210E-03  -0.122773E-05
   108   0.295142E+04   0.886449E+00   0.000000E+00  -0.284384E+02   0.967070E-07   0.333120E-03  -0.123471E-05
   109   0.298418E+04   0.899641E+00   0.000000E+00  -0.290920E+02   0.961170E-07   0.329391E-03  -0.124276E-05
   110   0.301802E+04   0.912398E+00   0.000000E+00  -0.297451E+02   0.955188E-07   0.325956E-03  -0.124811E-05
   111   0.305044E+04   0.924914E+00   0.000000E+00  -0.303813E+02   0.949409E-07   0.322309E-03  -0.125140E-05
   112   0.308343E+04   0.937231E+00   0.000000E+00  -0.310177E+02   0.943484E-07   0.318647E-03  -0.125201E-05
   113   0.311766E+04   0.949159E+00   0.000000E+00  -0.316570E+02   0.937669E-07   0.315278E-03  -0.124801E-05
   114   0.315063E+04   0.960723E+00   0.000000E+00  -0.322764E+02   0.931962E-07   0.311819E-03  -0.123883E-05
   115   0.318384E+04   0.972052E+00   0.000000E+00  -0.328920E+02   0.926202E-07   0.308514E-03  -0.122566E-05
   116   0.321874E+04   0.983070E+00   0.000000E+00  -0.335162E+02   0.920562E-07   0.305617E-03  -0.120892E-05
   117   0.325204E+04   0.993549E+00   0.000000E+00  -0.341120E+02   0.914909E-07   0.302447E-03  -0.118731E-05
   118   0.328507E+04   0.100378E+01   0.000000E+00  -0.346983E+02   0.909345E-07   0.299200E-03  -0.116452E-05
   119   0.332020E+04   0.101369E+01   0.000000E+00  -0.352972E+02   0.903742E-07   0.296288E-03  -0.114214E-05
   120   0.335503E+04   0.102312E+01   0.000000E+00  -0.358787E+02   0.898300E-07   0.293474E-03  -0.112034E-05
   121   0.338773E+04   0.103211E+01   0.000000E+00  -0.364301E+02   0.892757E-07   0.290309E-03  -0.110047E-05
   122   0.342248E+04   0.104083E+01   0.000000E+00  -0.369932E+02   0.887319E-07   0.287430E-03  -0.108559E-05
   123   0.345768E+04   0.104903E+01   0.000000E+00  -0.375451E+02   0.881956E-07   0.284612E-03  -0.107448E-05
   124   0.349114E+04   0.105677E+01   0.000000E+00  -0.380677E+02   0.876577E-07   0.281571E-03  -0.106731E-05
   125   0.352528E+04   0.106423E+01   0.000000E+00  -0.385889E+02   0.871332E-07   0.278754E-03  -0.106559E-05
   126   0.356102E+04   0.107112E+01   0.000000E+00  -0.391081E+02   0.866008E-07   0.276180E-03  -0.106653E-05
   127   0.359521E+04   0.107753E+01   0.000000E+00  -0.395977E+02   0.860820E-07   0.273389E-03  -0.106958E-05
   128   0.362924E+04   0.108360E+01   0.000000E+00  -0.400761E+02   0.855606E-07   0.270517E-03  -0.107484E-05
   129   0.366510E+04   0.108925E+01   0.000000E+00  -0.405580E+02   0.850498E-07   0.267948E-03  -0.108078E-05
   130   0.369930E+04   0.109417E+01   0.000000E+00  -0.410014E+02   0.845335E-07   0.265266E-03  -0.108369E-05
   131   0.373335E+04   0.109880E+01   0.000000E+00  -0.414344E+02   0.840267E-07   0.262646E-03  -0.108568E-05
   132   0.376890E+04   0.110301E+01   0.000000E+00  -0.418672E+02   0.835249E-07   0.260262E-03  -0.108524E-05
   133   0.380351E+04   0.110655E+01   0.000000E+00  -0.422683E+02   0.830239E-07   0.257773E-03  -0.108005E-05
   134   0.383728E+04   0.110970E+01   0.000000E+00  -0.426490E+02   0.825331E-07   0.255202E-03  -0.107175E-05
   135   0.387253E+04   0.111243E+01   0.000000E+00  -0.430290E+02   0.820379E-07   0.252831E-03  -0.106107E-05
   136   0.390809E+04   0.111461E+01   0.000000E+00  -0.433896E+02   0.815584E-07   0.250646E-03  -0.104753E-05
   137   0.394123E+04   0.111620E+01   0.000000E+00  -0.437109E+02   0.810691E-07   0.248247E-03  -0.103091E-05
   138   0.397514E+04   0.111747E+01   0.000000E+00  -0.440262E+02   0.805954E-07   0.245988E-03  -0.101471E-05
   139   0.401114E+04   0.111813E+01   0.000000E+00  -0.443358E+02   0.801167E-07   0.243899E-03  -0.998193E-06
   140   0.404466E+04   0.111826E+01   0.000000E+00  -0.446046E+02   0.796419E-07   0.241503E-03  -0.981840E-06
   141   0.407833E+04   0.111801E+01   0.000000E+00  -0.448599E+02   0.791763E-07   0.239172E-03  -0.967792E-06
   142   0.411354E+04   0.111722E+01   0.000000E+00  -0.451059E+02   0.787114E-07   0.237191E-03  -0.956134E-06
   143   0.414729E+04   0.111588E+01   0.000000E+00  -0.453174E+02   0.782513E-07   0.235089E-03  -0.946450E-06
   144   0.418101E+04   0.111413E+01   0.000000E+00  -0.455121E+02   0.777928E-07   0.232920E-03  -0.939877E-06
   145   0.421546E+04   0.111192E+01   0.000000E+00  -0.456923E+02   0.773421E-07   0.230794E-03  -0.936561E-06
   146   0.424899E+04   0.110915E+01   0.000000E+00  -0.458404E+02   0.768914E-07   0.228597E-03  -0.935038E-06
   147   0.428183E+04   0.110595E+01   0.000000E+00  -0.459645E+02   0.764488E-07   0.226460E-03  -0.935977E-06
   148   0.431519E+04   0.110238E+01   0.000000E+00  -0.460734E+02   0.760153E-07   0.224449E-03  -0.939248E-06
   149   0.434901E+04   0.109812E+01   0.000000E+00  -0.461563E+02   0.755662E-07   0.222503E-03  -0.942300E-06
   150   0.438177E+04   0.109355E+01   0.000000E+00  -0.462133E+02   0.751424E-07   0.220478E-03  -0.946398E-06
   151   0.441487E+04   0.108855E+01   0.000000E+00  -0.462525E+02   0.747008E-07   0.218412E-03  -0.950538E-06
   152   0.444839E+04   0.108316E+01   0.000000E+00  -0.462720E+02   0.742813E-07   0.216520E-03  -0.954599E-06
   153   0.447969E+04   0.107717E+01   0.000000E+00  -0.462466E+02   0.738505E-07   0.214455E-03  -0.956185E-06
   154   0.451152E+04   0.107092E+01   0.000000E+00  -0.462073E+02   0.734361E-07   0.212572E-03  -0.957641E-06
   155   0.454434E+04   0.106417E+01   0.000000E+00  -0.461487E+02   0.730125E-07   0.210796E-03  -0.957262E-06
   156   0.457626E+04   0.105707E+01   0.000000E+00  -0.460606E+02   0.726055E-07   0.209007E-03  -0.955695E-06
   157   0.460748E+04   0.104960E+01   0.000000E+00  -0.459454E+02   0.721925E-07   0.207066E-03  -0.952989E-06
   158   0.463938E+04   0.104184E+01   0.000000E+00  -0.458127E+02   0.717869E-07   0.205260E-03  -0.949113E-06
   159   0.466996E+04   0.103357E+01   0.000000E+00  -0.456408E+02   0.713832E-07   0.203482E-03  -0.943555E-06
   160   0.470011E+04   0.102505E+01   0.000000E+00  -0.454443E+02   0.709832E-07   0.201754E-03  -0.937177E-06
