#    L    TT             EE             BB             TE             PP             TP             EP          
   114   0.315642E+04   0.970458E+00   0.569800E-02  -0.324666E+02   0.931962E-07   0.311819E-03  -0.123883E-05
   115   0.318940E+04   0.981756E+00   0.563472E-02  -0.330778E+02   0.926202E-07   0.308514E-03  -0.122566E-05
   116   0.322407E+04   0.992743E+00   0.557249E-02  -0.336976E+02   0.920562E-07   0.305617E-03  -0.120892E-05
   117   0.325715E+04   0.100317E+01   0.550771E-02  -0.342887E+02   0.914909E-07   0.302447E-03  -0.118731E-05
   118   0.328996E+04   0.101335E+01   0.544009E-02  -0.348704E+02   0.909345E-07   0.299200E-03  -0.116452E-05
   119   0.332487E+04   0.102322E+01   0.537356E-02  -0.354649E+02   0.903742E-07   0.296288E-03  -0.114214E-05
   120   0.335950E+04   0.103259E+01   0.530735E-02  -0.360418E+02   0.898300E-07   0.293474E-03  -0.112034E-05
   121   0.339200E+04   0.104153E+01   0.523539E-02  -0.365886E+02   0.892757E-07   0.290309E-03  -0.110047E-05
   122   0.342656E+04   0.105019E+01   0.516479E-02  -0.371472E+02   0.887319E-07   0.287430E-03  -0.108559E-05
   123   0.346157E+04   0.105833E+01   0.509534E-02  -0.376944E+02   0.881956E-07   0.284612E-03  -0.107448E-05
   124   0.349485E+04   0.106600E+01   0.502217E-02  -0.382125E+02   0.876577E-07   0.281571E-03  -0.106731E-05
   125   0.352882E+04   0.107340E+01   0.494803E-02  -0.387292E+02   0.871332E-07   0.278754E-03  -0.106559E-05
   126   0.356438E+04   0.108021E+01   0.487654E-02  -0.392439E+02   0.866008E-07   0.276180E-03  -0.106653E-05
   127   0.359842E+04   0.108655E+01   0.480305E-02  -0.397289E+02   0.860820E-07   0.273389E-03  -0.106958E-05
   128   0.363229E+04   0.109255E+01   0.472685E-02  -0.402029E+02   0.855606E-07   0.270517E-03  -0.107484E-05
   129   0.366799E+04   0.109813E+01   0.465255E-02  -0.406804E+02   0.850498E-07   0.267948E-03  -0.108078E-05
   130   0.370205E+04   0.110296E+01   0.457864E-02  -0.411192E+02   0.845335E-07   0.265266E-03  -0.108369E-05
   131   0.373597E+04   0.110751E+01   0.450203E-02  -0.415480E+02   0.840267E-07   0.262646E-03  -0.108568E-05
   132   0.377138E+04   0.111164E+01   0.442657E-02  -0.419765E+02   0.835249E-07   0.260262E-03  -0.108524E-05
   133   0.380586E+04   0.111508E+01   0.435211E-02  -0.423732E+02   0.830239E-07   0.257773E-03  -0.108005E-05
   134   0.383951E+04   0.111814E+01   0.427534E-02  -0.427497E+02   0.825331E-07   0.255202E-03  -0.107175E-05
   135   0.387464E+04   0.112079E+01   0.419934E-02  -0.431255E+02   0.820379E-07   0.252831E-03  -0.106107E-05
   136   0.391009E+04   0.112287E+01   0.412600E-02  -0.434820E+02   0.815584E-07   0.250646E-03  -0.104753E-05
   137   0.394312E+04   0.112436E+01   0.404904E-02  -0.437992E+02   0.810691E-07   0.248247E-03  -0.103091E-05
   138   0.397693E+04   0.112553E+01   0.397204E-02  -0.441105E+02   0.805954E-07   0.245988E-03  -0.101471E-05
   139   0.401283E+04   0.112610E+01   0.389967E-02  -0.444162E+02   0.801167E-07   0.243899E-03  -0.998193E-06
   140   0.404626E+04   0.112612E+01   0.382464E-02  -0.446811E+02   0.796419E-07   0.241503E-03  -0.981840E-06
   141   0.407983E+04   0.112577E+01   0.374882E-02  -0.449326E+02   0.791763E-07   0.239172E-03  -0.967792E-06
   142   0.411496E+04   0.112488E+01   0.367647E-02  -0.451748E+02   0.787114E-07   0.237191E-03  -0.956134E-06
   143   0.414863E+04   0.112343E+01   0.360387E-02  -0.453826E+02   0.782513E-07   0.235089E-03  -0.946450E-06
   144   0.418227E+04   0.112157E+01   0.353040E-02  -0.455738E+02   0.777928E-07   0.232920E-03  -0.939877E-06
   145   0.421666E+04   0.111927E+01   0.345869E-02  -0.457504E+02   0.773421E-07   0.230794E-03  -0.936561E-06
   146   0.425012E+04   0.111638E+01   0.338783E-02  -0.458950E+02   0.768914E-07   0.228597E-03  -0.935038E-06
   147   0.428289E+04   0.111307E+01   0.331608E-02  -0.460158E+02   0.764488E-07   0.226460E-03  -0.935977E-06
   148   0.431619E+04   0.110939E+01   0.324533E-02  -0.461214E+02   0.760153E-07   0.224449E-03  -0.939248E-06
   149   0.434995E+04   0.110502E+01   0.317844E-02  -0.462010E+02   0.755662E-07   0.222503E-03  -0.942300E-06
   150   0.438267E+04   0.110034E+01   0.311055E-02  -0.462549E+02   0.751424E-07   0.220478E-03  -0.946398E-06
   151   0.441572E+04   0.109523E+01   0.304247E-02  -0.462911E+02   0.747008E-07   0.218412E-03  -0.950538E-06
   152   0.444918E+04   0.108973E+01   0.297705E-02  -0.463077E+02   0.742813E-07   0.216520E-03  -0.954599E-06
   153   0.448045E+04   0.108362E+01   0.291104E-02  -0.462794E+02   0.738505E-07   0.214455E-03  -0.956185E-06
   154   0.451224E+04   0.107726E+01   0.284586E-02  -0.462373E+02   0.734361E-07   0.212572E-03  -0.957641E-06
   155   0.454502E+04   0.107040E+01   0.278393E-02  -0.461760E+02   0.730125E-07   0.210796E-03  -0.957262E-06
   156   0.457690E+04   0.106318E+01   0.272257E-02  -0.460853E+02   0.726055E-07   0.209007E-03  -0.955695E-06
   157   0.460810E+04   0.105560E+01   0.266056E-02  -0.459675E+02   0.721925E-07   0.207066E-03  -0.952989E-06
   158   0.463997E+04   0.104773E+01   0.260090E-02  -0.458324E+02   0.717869E-07   0.205260E-03  -0.949113E-06
   159   0.467052E+04   0.103934E+01   0.254249E-02  -0.456582E+02   0.713832E-07   0.203482E-03  -0.943555E-06
   160   0.470065E+04   0.103070E+01   0.248453E-02  -0.454594E+02   0.709832E-07   0.201754E-03  -0.937177E-06
   161   0.473168E+04   0.102175E+01   0.242866E-02  -0.452435E+02   0.705838E-07   0.200104E-03  -0.930404E-06
   162   0.476230E+04   0.101249E+01   0.237452E-02  -0.449993E+02   0.701932E-07   0.198406E-03  -0.922871E-06
   163   0.479168E+04   0.100293E+01   0.232031E-02  -0.447218E+02   0.698008E-07   0.196594E-03  -0.914830E-06
   164   0.482146E+04   0.993182E+00   0.226757E-02  -0.444252E+02   0.694162E-07   0.194920E-03  -0.906913E-06
   165   0.485077E+04   0.983078E+00   0.221691E-02  -0.440966E+02   0.690306E-07   0.193352E-03  -0.898671E-06
   166   0.487918E+04   0.972757E+00   0.216706E-02  -0.437371E+02   0.686520E-07   0.191727E-03  -0.890331E-06
   167   0.490790E+04   0.962283E+00   0.211842E-02  -0.433574E+02   0.682734E-07   0.190090E-03  -0.882028E-06
   168   0.493677E+04   0.951616E+00   0.207185E-02  -0.429531E+02   0.679008E-07   0.188501E-03  -0.873721E-06
   169   0.496489E+04   0.940774E+00   0.202694E-02  -0.425174E+02   0.675380E-07   0.186966E-03  -0.865451E-06
   170   0.499165E+04   0.929783E+00   0.198129E-02  -0.420490E+02   0.671619E-07   0.185291E-03  -0.856623E-06
   171   0.501941E+04   0.918754E+00   0.193812E-02  -0.415646E+02   0.668040E-07   0.183829E-03  -0.848160E-06
   172   0.504561E+04   0.907421E+00   0.189698E-02  -0.410369E+02   0.664355E-07   0.182247E-03  -0.838215E-06
   173   0.507155E+04   0.896168E+00   0.185639E-02  -0.404883E+02   0.660824E-07   0.180712E-03  -0.828395E-06
   174   0.509831E+04   0.884861E+00   0.181767E-02  -0.399200E+02   0.657212E-07   0.179232E-03  -0.818459E-06
   175   0.512436E+04   0.873527E+00   0.178079E-02  -0.393207E+02   0.653729E-07   0.177779E-03  -0.808115E-06
   176   0.514859E+04   0.862158E+00   0.174390E-02  -0.386845E+02   0.650186E-07   0.176187E-03  -0.796703E-06
   177   0.517356E+04   0.850915E+00   0.170860E-02  -0.380317E+02   0.646750E-07   0.174783E-03  -0.785185E-06
   178   0.519787E+04   0.839601E+00   0.167564E-02  -0.373444E+02   0.643277E-07   0.173396E-03  -0.772968E-06
   179   0.522138E+04   0.828443E+00   0.164360E-02  -0.366298E+02   0.639886E-07   0.171946E-03  -0.760341E-06
   180   0.524511E+04   0.817435E+00   0.161256E-02  -0.358939E+02   0.636482E-07   0.170481E-03  -0.747502E-06
   181   0.526860E+04   0.806560E+00   0.158342E-02  -0.351308E+02   0.633138E-07   0.169103E-03  -0.734193E-06
   182   0.529036E+04   0.795807E+00   0.155505E-02  -0.343311E+02   0.629800E-07   0.167709E-03  -0.720410E-06
   183   0.531225E+04   0.785337E+00   0.152767E-02  -0.335117E+02   0.626500E-07   0.166377E-03  -0.706526E-06
   184   0.533408E+04   0.775050E+00   0.150232E-02  -0.326649E+02   0.623227E-07   0.165050E-03  -0.692457E-06
   185   0.535496E+04   0.765036E+00   0.147833E-02  -0.317884E+02   0.619971E-07   0.163655E-03  -0.677912E-06
   186   0.537546E+04   0.755363E+00   0.145497E-02  -0.308884E+02   0.616762E-07   0.162299E-03  -0.663565E-06
   187   0.539595E+04   0.746019E+00   0.143312E-02  -0.299644E+02   0.613550E-07   0.161039E-03  -0.649127E-06
   188   0.541514E+04   0.736997E+00   0.141253E-02  -0.290077E+02   0.610365E-07   0.159749E-03  -0.634572E-06
   189   0.543381E+04   0.728416E+00   0.139275E-02  -0.280275E+02   0.607235E-07   0.158435E-03  -0.619972E-06
   190   0.545254E+04   0.720259E+00   0.137447E-02  -0.270240E+02   0.604104E-07   0.157147E-03  -0.605136E-06
   191   0.547059E+04   0.712556E+00   0.135765E-02  -0.259929E+02   0.601021E-07   0.155907E-03  -0.590231E-06
   192   0.548786E+04   0.705376E+00   0.134167E-02  -0.249368E+02   0.598027E-07   0.154670E-03  -0.575462E-06
   193   0.550495E+04   0.698739E+00   0.132637E-02  -0.238586E+02   0.594908E-07   0.153417E-03  -0.560747E-06
   194   0.552185E+04   0.692684E+00   0.131274E-02  -0.227570E+02   0.591955E-07   0.152232E-03  -0.545720E-06
   195   0.553666E+04   0.687174E+00   0.129970E-02  -0.216215E+02   0.588896E-07   0.150958E-03  -0.530078E-06
   196   0.555185E+04   0.682370E+00   0.128764E-02  -0.204698E+02   0.585982E-07   0.149777E-03  -0.514938E-06
   197   0.556683E+04   0.678197E+00   0.127723E-02  -0.192926E+02   0.582980E-07   0.148600E-03  -0.499615E-06
   198   0.558094E+04   0.674764E+00   0.126753E-02  -0.180924E+02   0.580104E-07   0.147400E-03  -0.483952E-06
   199   0.559429E+04   0.672088E+00   0.125829E-02  -0.168697E+02   0.577158E-07   0.146189E-03  -0.468309E-06
   200   0.560768E+04   0.670211E+00   0.125036E-02  -0.156271E+02   0.574320E-07   0.145102E-03  -0.452741E-06
   201   0.561944E+04   0.669112E+00   0.124328E-02  -0.143554E+02   0.571431E-07   0.143938E-03  -0.436745E-06
   202   0.563103E+04   0.668907E+00   0.123686E-02  -0.130662E+02   0.568631E-07   0.142780E-03  -0.420894E-06
   203   0.564249E+04   0.669587E+00   0.123157E-02  -0.117563E+02   0.565795E-07   0.141618E-03  -0.405073E-06
   204   0.565326E+04   0.671208E+00   0.122706E-02  -0.104253E+02   0.563031E-07   0.140504E-03  -0.389008E-06
   205   0.566291E+04   0.673799E+00   0.122296E-02  -0.907301E+01   0.560248E-07   0.139396E-03  -0.373176E-06
   206   0.567254E+04   0.677407E+00   0.121978E-02  -0.770294E+01   0.557520E-07   0.138330E-03  -0.357656E-06
   207   0.568105E+04   0.682038E+00   0.121742E-02  -0.630994E+01   0.554789E-07   0.137206E-03  -0.341981E-06
   208   0.568899E+04   0.687760E+00   0.121556E-02  -0.489909E+01   0.552096E-07   0.136055E-03  -0.326239E-06
   209   0.569671E+04   0.694602E+00   0.121441E-02  -0.347136E+01   0.549416E-07   0.134986E-03  -0.310946E-06
   210   0.570389E+04   0.702601E+00   0.121396E-02  -0.202542E+01   0.546758E-07   0.133953E-03  -0.295934E-06
   211   0.570991E+04   0.711788E+00   0.121390E-02  -0.560913E+00   0.544128E-07   0.132887E-03  -0.281133E-06
   212   0.571563E+04   0.722205E+00   0.121444E-02   0.919400E+00   0.541504E-07   0.131792E-03  -0.266369E-06
   213   0.572069E+04   0.733881E+00   0.121559E-02   0.241707E+01   0.538921E-07   0.130731E-03  -0.251726E-06
   214   0.572496E+04   0.746855E+00   0.121714E-02   0.393081E+01   0.536330E-07   0.129684E-03  -0.237125E-06
   215   0.572879E+04   0.761169E+00   0.121913E-02   0.545863E+01   0.533765E-07   0.128673E-03  -0.223085E-06
   216   0.573225E+04   0.776855E+00   0.122162E-02   0.700082E+01   0.531237E-07   0.127652E-03  -0.209141E-06
   217   0.573505E+04   0.793945E+00   0.122451E-02   0.855780E+01   0.528790E-07   0.126636E-03  -0.195002E-06
   218   0.573647E+04   0.812475E+00   0.122760E-02   0.101285E+02   0.526224E-07   0.125574E-03  -0.180761E-06
   219   0.573812E+04   0.832483E+00   0.123111E-02   0.117108E+02   0.523807E-07   0.124627E-03  -0.166910E-06
   220   0.573844E+04   0.853996E+00   0.123498E-02   0.133076E+02   0.521287E-07   0.123620E-03  -0.153069E-06
   221   0.573843E+04   0.877058E+00   0.123907E-02   0.149148E+02   0.518899E-07   0.122587E-03  -0.138962E-06
   222   0.573801E+04   0.901691E+00   0.124343E-02   0.165322E+02   0.516424E-07   0.121585E-03  -0.124820E-06
   223   0.573708E+04   0.927937E+00   0.124802E-02   0.181608E+02   0.514068E-07   0.120670E-03  -0.110517E-06
   224   0.573473E+04   0.955824E+00   0.125273E-02   0.197989E+02   0.511637E-07   0.119703E-03  -0.965037E-07
   225   0.573248E+04   0.985386E+00   0.125763E-02   0.214456E+02   0.509309E-07   0.118760E-03  -0.823113E-07
   226   0.572922E+04   0.101665E+01   0.126270E-02   0.231014E+02   0.506921E-07   0.117745E-03  -0.676558E-07
   227   0.572545E+04   0.104966E+01   0.126786E-02   0.247650E+02   0.504623E-07   0.116812E-03  -0.527234E-07
   228   0.572113E+04   0.108442E+01   0.127311E-02   0.264344E+02   0.502276E-07   0.115912E-03  -0.381355E-07
   229   0.571643E+04   0.112099E+01   0.127841E-02   0.281114E+02   0.500006E-07   0.115031E-03  -0.235485E-07
   230   0.571043E+04   0.115938E+01   0.128374E-02   0.297930E+02   0.497700E-07   0.114066E-03  -0.850242E-08
